Size,BlockConfig,Time_seconds
200,8x8,0.0001904
200,16x16,0.0002168
200,32x32,0.0002281
200,32x8,0.0002072
200,64x4,0.000222933
200,128x2,0.000244333
200,8x32,0.0002077
200,4x64,0.0002053
200,2x128,0.000203967
400,8x8,0.0013768
400,16x16,0.00137643
400,32x32,0.0014561
400,32x8,0.00140477
400,64x4,0.00150153
400,128x2,0.00143667
400,8x32,0.0013551
400,4x64,0.00137353
400,2x128,0.0014695
800,8x8,0.010681
800,16x16,0.010006
800,32x32,0.00992593
800,32x8,0.009699
800,64x4,0.00972867
800,128x2,0.0160972
800,8x32,0.00960343
800,4x64,0.0100191
800,2x128,0.0104426
1200,8x8,0.0341393
1200,16x16,0.0324774
1200,32x32,0.03319
1200,32x8,0.0331779
1200,64x4,0.0331528
1200,128x2,0.0637672
1200,8x32,0.0324212
1200,4x64,0.0329671
1200,2x128,0.0351225
1600,8x8,0.0775196
1600,16x16,0.0781852
1600,32x32,0.0767984
1600,32x8,0.0782495
1600,64x4,0.0786878
1600,128x2,0.153227
1600,8x32,0.0780471
1600,4x64,0.0786577
1600,2x128,0.135146
2000,8x8,0.152593
2000,16x16,0.153164
2000,32x32,0.152161
2000,32x8,0.15403
2000,64x4,0.156336
2000,128x2,0.299994
2000,8x32,0.152444
2000,4x64,0.154001
2000,2x128,0.430564
